feature,coef,odds_ratio
cat__chest_pain_type_4,1.1549410402645186,3.1738362834632325
cat__sex_1,1.0865543649585303,2.96404344522158
cat__thallium_7,0.9291521928446081,2.5323613132177205
cat__slope_of_st_2,0.6964525497940689,2.006621675981541
cat__number_of_vessels_fluro_2,0.6605666962279902,1.9358890846526453
cat__number_of_vessels_fluro_1,0.6558708403739864,1.926819739396502
cat__number_of_vessels_fluro_3,0.5297792890027184,1.6985573769516946
num__st_depression,0.4380879681753903,1.5497412293316974
cat__exercise_angina_1,0.35762698060044096,1.4299321285606603
num__cholesterol,0.165992720076187,1.1805645072723232
cat__ekg_results_2,0.018343035213052528,1.0185123020553983
cat__chest_pain_type_2,0.0,1.0
cat__chest_pain_type_3,0.0,1.0
cat__slope_of_st_3,0.0,1.0
cat__ekg_results_1,0.0,1.0
cat__thallium_6,0.0,1.0
num__max_hr,-0.4343689695132263,0.6476732397133089
